2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Metadata.wasm - - - 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Http.Connections.Common.wasm - - - 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.Metadata.wasm.gz was not modified 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.Http.Connections.Common.wasm.gz was not modified 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Metadata.wasm.gz - 304 - application/wasm 0.6330ms 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Http.Connections.Common.wasm.gz - 304 - application/wasm 0.9785ms 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.Connections.Abstractions.wasm.gz was not modified 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.SignalR.Client.wasm.gz was not modified 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Connections.Abstractions.wasm.gz - 304 - application/wasm 2.6681ms 
